epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,39389.8,0.39642,1.82715,0.86778,0.18708,0.47219,0.24782,0.24649,0.26932,2.05192,0.75261,0.000430156,0.000430156,0.000430156
55,40135.8,0.4004,1.7851,0.87931,0.39168,0.32427,0.27003,0.26008,0.31066,1.71549,0.76997,0.000414688,0.000414688,0.000414688
56,40643.4,0.39176,1.74905,0.87564,0.8141,0.29926,0.37457,0.37343,0.24309,1.53732,0.75349,0.000399219,0.000399219,0.000399219
57,41139,0.38591,1.76711,0.8807,0.77639,0.3196,0.42729,0.41925,0.3174,1.60688,0.76956,0.00038375,0.00038375,0.00038375
58,41631,0.37895,1.71287,0.86776,0.31164,0.49472,0.43618,0.43368,0.21761,1.36323,0.75627,0.000368281,0.000368281,0.000368281
59,42176.4,0.36652,1.71816,0.86312,0.23644,0.45133,0.40285,0.39955,0.23915,1.36553,0.75449,0.000352812,0.000352812,0.000352812
60,42709.7,0.36518,1.69669,0.8697,0.227,0.52355,0.40956,0.40607,0.27096,1.41823,0.76627,0.000337344,0.000337344,0.000337344
61,43241.2,0.36028,1.72217,0.86564,0.24981,0.48614,0.41008,0.40929,0.25048,1.42301,0.75325,0.000321875,0.000321875,0.000321875
62,43744.9,0.36589,1.70033,0.86385,0.23536,0.56474,0.41374,0.41076,0.23141,1.45209,0.74853,0.000306406,0.000306406,0.000306406
63,44235.4,0.34271,1.64748,0.86009,0.31942,0.58691,0.47245,0.46986,0.23871,1.36688,0.74606,0.000290937,0.000290937,0.000290937
64,44720.5,0.35771,1.69138,0.86464,0.32538,0.48371,0.43543,0.42914,0.23277,1.29116,0.75677,0.000275469,0.000275469,0.000275469
65,45211.4,0.34035,1.69907,0.85537,0.3714,0.56192,0.47382,0.47124,0.2063,1.19166,0.74552,0.00026,0.00026,0.00026
66,45701.9,0.34998,1.66792,0.85543,0.33762,0.49145,0.4246,0.42378,0.19893,1.29646,0.74453,0.000244531,0.000244531,0.000244531
67,46189.9,0.3399,1.58994,0.85201,0.27114,0.55115,0.43083,0.43021,0.21293,1.42842,0.74827,0.000229063,0.000229063,0.000229063
68,46679.4,0.32551,1.55141,0.84958,0.32002,0.63671,0.46723,0.46589,0.23507,1.36204,0.75252,0.000213594,0.000213594,0.000213594
69,47170.4,0.32856,1.57517,0.83754,0.3356,0.64652,0.50403,0.50179,0.2096,1.42707,0.74157,0.000198125,0.000198125,0.000198125
70,47662.8,0.31917,1.54251,0.84753,0.30562,0.49461,0.43757,0.43601,0.22194,1.28546,0.74515,0.000182656,0.000182656,0.000182656
71,48154.4,0.29987,1.8209,0.83204,0.2641,0.49128,0.41148,0.41003,0.20478,1.37929,0.74715,0.000167188,0.000167188,0.000167188
72,48646.7,0.26292,1.56801,0.81195,0.39762,0.52256,0.45463,0.45378,0.18539,1.22398,0.74118,0.000151719,0.000151719,0.000151719
73,49142.6,0.2457,1.48338,0.80724,0.32927,0.56558,0.44869,0.44834,0.18206,1.17697,0.73937,0.00013625,0.00013625,0.00013625
74,49668.4,0.24537,1.45554,0.80614,0.33314,0.50788,0.42214,0.42179,0.19093,1.20373,0.74271,0.000120781,0.000120781,0.000120781
75,50182.5,0.24165,1.37097,0.80522,0.29402,0.47091,0.40694,0.40631,0.17687,1.16178,0.74443,0.000105312,0.000105312,0.000105312
76,50705.9,0.22421,1.39059,0.79423,0.39074,0.53193,0.45637,0.45571,0.16692,1.13788,0.74277,8.98437e-05,8.98437e-05,8.98437e-05
77,51244.3,0.2319,1.40528,0.80873,0.38627,0.56809,0.46624,0.46586,0.17226,1.11564,0.73968,7.4375e-05,7.4375e-05,7.4375e-05
78,51791.1,0.22396,1.29543,0.79488,0.32604,0.5491,0.45821,0.45759,0.1841,1.11906,0.74149,5.89062e-05,5.89062e-05,5.89062e-05
79,52345.1,0.21771,1.43942,0.79915,0.34246,0.56457,0.47432,0.47372,0.1623,1.12634,0.73737,4.34375e-05,4.34375e-05,4.34375e-05
80,52895.4,0.21717,1.39383,0.78935,0.36875,0.55337,0.47424,0.47336,0.16204,1.08106,0.73654,2.79687e-05,2.79687e-05,2.79687e-05
